0.1427 0.0197 0.0021 0.0598 0.2577 0.0308 0.0739 0.1557 0.0616 0.1960 
0.1971 0.1077 0.0518 0.1459 0.0736 0.0907 0.0938 0.0642 0.0481 0.1271 
0.2030 0.1649 0.1549 0.0928 0.1183 0.0007 0.0113 0.0197 0.0168 0.2176 
0.0841 0.0400 0.0285 0.0339 0.1268 0.3167 0.1762 0.0485 0.0368 0.1085 
0.0205 0.0541 0.0190 0.0922 0.1090 0.1755 0.0929 0.1637 0.2144 0.0587 
0.1121 0.2270 0.0587 0.1875 0.0405 0.0680 0.1079 0.1337 0.0326 0.0320 
0.0154 0.1600 0.2619 0.1501 0.0143 0.1076 0.0629 0.0001 0.0828 0.1449 
0.2215 0.0922 0.1225 0.0435 0.0003 0.0326 0.0267 0.1391 0.2970 0.0246 
0.0006 0.0545 0.1621 0.1619 0.0597 0.1212 0.2106 0.1123 0.0599 0.0572 
0.0030 0.0799 0.1385 0.0324 0.1998 0.0562 0.1438 0.1630 0.1500 0.0334 


1.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
0.1427 0.0197 0.0021 0.0598 0.2577 0.0308 0.0739 0.1557 0.0616 0.1960 
0.0747 0.0738 0.0856 0.0774 0.1193 0.1040 0.1002 0.1333 0.1537 0.0781 
0.0946 0.0996 0.1061 0.1045 0.0881 0.0997 0.1028 0.1038 0.1102 0.0906 
0.1014 0.1009 0.1023 0.1011 0.0973 0.1003 0.1004 0.0976 0.0979 0.1008 
0.1004 0.1003 0.1000 0.0999 0.1006 0.0998 0.0998 0.0995 0.0990 0.1008 
0.1000 0.0999 0.0998 0.0999 0.1003 0.1000 0.0999 0.1001 0.1001 0.1001 
0.1000 0.1000 0.1000 0.1000 0.1000 0.1000 0.1000 0.1000 0.1001 0.1000 
Equal state : 7
