0.0336 0.0947 0.0288 0.2000 0.0549 0.1944 0.0162 0.0026 0.2828 0.0920 
0.0015 0.0498 0.2943 0.0018 0.1462 0.1194 0.0760 0.1979 0.1058 0.0073 
0.0062 0.0690 0.0152 0.2075 0.0503 0.1208 0.1327 0.1683 0.1819 0.0481 
0.1093 0.1701 0.0947 0.0376 0.0867 0.1638 0.0057 0.0182 0.1183 0.1956 
0.1140 0.1126 0.1225 0.0026 0.1297 0.1481 0.0544 0.1446 0.0021 0.1694 
0.1425 0.0560 0.0500 0.2451 0.1689 0.0117 0.1823 0.0394 0.0025 0.1016 
0.2195 0.0032 0.1105 0.0791 0.1334 0.0237 0.2110 0.0869 0.0163 0.1164 
0.2875 0.0983 0.1734 0.0902 0.0910 0.0432 0.0057 0.1249 0.0706 0.0152 
0.0144 0.2112 0.0332 0.1142 0.0501 0.0497 0.1860 0.1329 0.0763 0.1320 
0.0715 0.1351 0.0774 0.0219 0.0888 0.1252 0.1300 0.0843 0.1434 0.1224 


1.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
0.0336 0.0947 0.0288 0.2000 0.0549 0.1944 0.0162 0.0026 0.2828 0.0920 
0.0722 0.1334 0.0834 0.1040 0.0992 0.0906 0.1191 0.0900 0.0842 0.1239 
0.1008 0.0969 0.1103 0.0882 0.1041 0.0992 0.1023 0.1037 0.0949 0.0995 
0.1006 0.0983 0.0993 0.1016 0.0998 0.0996 0.1007 0.1014 0.1002 0.0985 
0.1006 0.1001 0.0998 0.1001 0.0999 0.1000 0.0997 0.0997 0.1000 0.1002 
0.0999 0.1000 0.1000 0.1000 0.1000 0.1001 0.0999 0.0999 0.1001 0.1000 
0.1000 0.1000 0.1000 0.1000 0.1000 0.1000 0.1000 0.1000 0.1000 0.1000 
Equal state : 7
