0.01 0.02 0.12 0.17 0.09 0.03 0.16 0.23 0.01 0.16 1.00
0.09 0.12 0.11 0.02 0.16 0.22 0.06 0.08 0.10 0.04 1.00
0.11 0.15 0.03 0.06 0.04 0.16 0.15 0.05 0.24 0.01 1.00
0.09 0.03 0.04 0.05 0.12 0.18 0.23 0.24 0.01 0.01 1.00
0.09 0.10 0.16 0.06 0.10 0.04 0.13 0.02 0.12 0.18 1.00
0.09 0.23 0.05 0.11 0.08 0.07 0.06 0.06 0.11 0.14 1.00
0.23 0.04 0.10 0.04 0.03 0.15 0.05 0.12 0.10 0.14 1.00
0.16 0.09 0.17 0.15 0.04 0.06 0.06 0.03 0.13 0.11 1.00
0.04 0.15 0.15 0.11 0.24 0.02 0.08 0.16 0.03 0.02 1.00
0.09 0.07 0.07 0.23 0.10 0.07 0.02 0.01 0.15 0.19 1.00
1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 
